4294917188	9
2569512103	79
2061104251	269
1916917685	152
1795449831	184
1530369100	5
2957723724	20
1158520834	122
1155438353	160
4294917187	8
3125206937	34
2895059237	33
2651414323	8
2562725067	14
2200100952	146
1530369100	5
1407020622	14
1327796332	84
4294917186	15
2746059507	86
2724283071	46
2720130831	17
2434156600	30
2268165655	916
2138437542	12
1968332421	19
1946215003	2247
1780254341	22
1658842841	178
1656539413	267
1574169223	141
1530369100	5
1296240890	34
1245443803	7
3458816322	1
1994242185	122
3458813874	1
3044641330	5
3458808894	1
3044160414	13
3458804962	1
3045139190	8
3458800762	1
3291915483	13
3458795810	1
3044863530	9
3458794790	2
2865164434	29
2238681164	8
